iter	Passed	Remaining
227	544	1844
228	546	1838
229	547	1832
230	550	1831
231	552	1829
232	554	1824
233	555	1818
234	557	1813
235	558	1807
236	559	1801
237	560	1795
238	562	1789
239	563	1783
240	566	1784
241	568	1780
242	569	1774
243	571	1771
244	572	1765
245	574	1759
246	575	1753
247	576	1748
248	577	1742
249	581	1745
250	583	1741
251	584	1735
252	586	1730
253	587	1725
254	588	1719
255	589	1714
256	590	1708
257	592	1702
258	593	1697
259	597	1701
260	599	1698
261	601	1693
262	602	1688
263	603	1683
264	604	1677
265	606	1672
266	607	1667
267	608	1662
268	611	1661
269	612	1656
270	614	1651
271	615	1646
272	616	1642
273	617	1637
274	619	1631
275	620	1626
276	621	1622
277	622	1617
278	625	1617
279	627	1613
280	628	1609
281	630	1604
282	631	1600
283	632	1595
284	634	1592
285	636	1588
286	637	1584
287	642	1588
288	644	1584
289	646	1582
290	647	1578
291	649	1573
292	651	1571
293	652	1567
294	655	1566
295	659	1567
296	660	1563
297	662	1559
298	663	1555
299	664	1551
300	666	1547
301	667	1542
302	671	1545
303	674	1543
304	676	1540
305	678	1539
306	680	1535
307	682	1532
308	683	1528
309	688	1532
310	691	1532
311	693	1529
312	695	1527
313	697	1523
314	698	1519
315	702	1519
316	705	1520
317	709	1521
318	710	1517
319	711	1512
320	714	1510
321	718	1511
322	721	1512
323	723	1509
324	724	1505
325	725	1500
326	727	1496
327	728	1492
328	737	1503
329	739	1500
330	740	1496
331	742	1493
332	744	1491
333	748	1492
334	750	1488
335	752	1486
336	754	1484
337	756	1481
338	757	1477
339	758	1473
340	762	1474
341	767	1477
342	769	1473
343	770	1469
344	772	1466
345	773	1462
346	775	1459
347	782	1466
348	784	1463
349	786	1459
350	787	1455
351	789	1452
352	793	1454
353	795	1450
354	798	1450
355	799	1446
356	801	1443
357	804	1442
358	810	1446
359	812	1444
360	815	1442
361	816	1438
362	817	1435
363	819	1431
364	821	1429
365	827	1433
366	829	1430
367	830	1426
368	832	1422
369	833	1418
370	834	1415
371	839	1417
372	843	1417
373	844	1413
374	846	1410
375	847	1406
376	849	1403
377	850	1400
378	854	1400
379	856	1397
380	858	1394
381	861	1393
382	862	1389
383	864	1386
384	865	1382
385	868	1381
386	873	1383
387	875	1381
388	876	1377
389	878	1373
390	879	1370
391	885	1373
392	888	1372
393	889	1368
394	891	1365
395	892	1361
396	894	1359
397	896	1355
398	899	1355
399	902	1353
400	903	1350
401	905	1347
402	907	1343
403	908	1340
404	910	1337
405	914	1337
406	916	1334
407	917	1331
408	919	1328
409	920	1324
410	922	1321
411	923	1318
412	925	1315
413	929	1315
414	933	1315
415	934	1312
416	936	1308
417	938	1306
418	940	1304
419	945	1305
420	949	1305
421	950	1301
422	951	1297
423	953	1295
424	954	1291
425	957	1290
426	960	1288
427	961	1285
428	963	1282
429	964	1279
430	967	1276
431	968	1273
432	971	1271
433	972	1268
434	974	1265
435	975	1262
436	977	1258
437	978	1255
438	979	1251
439	980	1248
440	981	1244
441	983	1241
442	987	1240
443	989	1239
444	991	1236
445	995	1236
446	997	1233
447	999	1230
448	1003	1231
449	1008	1232
450	1010	1229
451	1012	1227
452	1015	1225
453	1022	1229
454	1024	1227
455	1026	1224
456	1028	1222
457	1033	1223
458	1036	1221
459	1039	1220
460	1041	1218
461	1044	1216
462	1053	1221
463	1056	1219
464	1059	1218
465	1069	1225
466	1072	1223
467	1073	1220
468	1075	1217
469	1076	1214
470	1078	1210
471	1080	1208
472	1082	1206
473	1084	1203
474	1088	1202
475	1089	1199
476	1091	1196
477	1096	1197
478	1098	1195
479	1100	1192
480	1102	1189
481	1103	1186
482	1105	1182
483	1107	1180
484	1109	1178
485	1111	1175
486	1112	1171
487	1114	1168
488	1115	1165
489	1116	1162
490	1118	1159
491	1122	1159
492	1124	1156
493	1125	1153
494	1127	1150
495	1128	1146
496	1129	1143
497	1130	1139
498	1132	1136
499	1133	1133
500	1136	1131
501	1137	1128
502	1139	1125
503	1140	1122
504	1141	1119
505	1142	1115
506	1144	1112
507	1145	1109
508	1146	1106
509	1147	1102
510	1150	1100
511	1152	1098
512	1154	1095
513	1155	1092
514	1157	1089
515	1158	1086
516	1159	1083
517	1160	1080
518	1161	1076
519	1163	1073
520	1165	1071
521	1167	1069
522	1169	1066
523	1170	1063
524	1172	1060
525	1173	1057
526	1175	1054
527	1176	1051
528	1177	1048
529	1180	1046
530	1181	1043
531	1182	1040
532	1183	1037
533	1185	1034
534	1186	1031
535	1187	1028
536	1188	1025
537	1190	1022
538	1191	1019
539	1193	1016
540	1195	1014
541	1196	1011
542	1198	1008
543	1199	1005
544	1201	1002
545	1202	999
546	1203	996
547	1204	993
548	1207	991
549	1209	989
550	1210	986
551	1211	983
552	1212	980
553	1213	977
554	1215	974
555	1216	971
556	1217	968
557	1218	965
558	1219	962
559	1221	959
560	1223	957
561	1224	954
562	1225	951
563	1227	948
564	1228	945
565	1229	942
566	1230	939
567	1231	936
568	1233	933
569	1234	931
570	1235	928
571	1238	926
572	1240	924
573	1241	921
574	1242	918
575	1244	915
576	1245	912
577	1246	910
578	1247	907
579	1249	904
580	1250	901
581	1252	899
582	1254	896
583	1255	894
584	1256	891
585	1257	888
586	1258	885
587	1260	883
588	1261	880
589	1262	877
590	1264	874
591	1265	872
592	1268	870
593	1269	867
594	1270	864
595	1271	862
596	1272	859
597	1274	856
598	1275	853
599	1276	851
600	1277	848
601	1278	845
602	1280	842
603	1282	840
604	1284	838
605	1285	835
606	1286	833
607	1288	830
608	1289	828
609	1290	825
610	1292	822
611	1293	819
612	1294	817
613	1295	814
614	1298	812
615	1299	809
616	1300	807
617	1302	804
618	1304	802
619	1305	800
620	1306	797
621	1307	794
622	1309	792
623	1310	789
624	1312	787
625	1314	785
626	1315	782
627	1316	779
628	1317	777
629	1318	774
630	1319	771
631	1321	769
632	1322	766
633	1323	763
634	1324	761
635	1327	759
636	1328	757
637	1330	755
638	1332	752
639	1333	749
640	1334	747
641	1335	744
642	1336	742
643	1337	739
644	1339	737
645	1341	735
646	1343	732
647	1344	730
648	1345	727
649	1346	725
650	1348	722
651	1349	720
652	1350	717
653	1351	715
654	1352	712
655	1353	709
656	1356	708
657	1357	705
658	1359	703
659	1360	700
660	1361	698
661	1362	695
662	1363	693
663	1364	690
664	1366	688
665	1367	685
666	1368	683
667	1371	681
668	1373	679
669	1374	676
670	1375	674
671	1376	672
672	1378	669
673	1379	667
674	1381	664
675	1382	662
676	1383	660
677	1385	658
678	1387	656
679	1388	653
680	1390	651
681	1391	648
682	1392	646
683	1393	643
684	1394	641
685	1395	638
686	1397	636
687	1398	634
688	1400	632
689	1402	630
690	1403	627
691	1404	625
692	1405	622
693	1407	620
694	1408	618
695	1409	615
696	1410	613
697	1411	610
698	1413	608
699	1414	606
700	1416	604
701	1418	602
702	1419	599
703	1420	597
704	1421	594
705	1423	592
706	1424	590
707	1426	588
708	1427	586
709	1429	583
710	1431	581
711	1433	579
712	1434	577
713	1435	574
714	1436	572
715	1437	570
716	1439	568
717	1440	565
718	1441	563
719	1442	561
720	1443	558
721	1445	556
722	1447	554
723	1448	552
724	1449	549
725	1450	547
726	1451	545
727	1453	542
728	1454	540
729	1455	538
730	1456	535
731	1457	533
732	1458	531
733	1461	529
734	1462	527
735	1464	525
736	1465	522
737	1466	520
738	1467	518
739	1468	516
740	1469	513
741	1470	511
742	1472	509
743	1473	506
744	1474	504
745	1476	502
746	1478	500
747	1479	498
748	1481	496
749	1482	494
750	1484	492
751	1485	489
752	1486	487
753	1487	485
754	1488	483
755	1491	481
756	1492	479
757	1494	477
758	1495	474
759	1496	472
760	1497	470
761	1498	468
762	1499	465
763	1501	463
764	1502	461
765	1503	459
766	1504	457
767	1506	455
768	1508	452
769	1509	450
770	1510	448
771	1511	446
772	1512	444
773	1514	442
774	1516	440
775	1517	438
776	1521	436
777	1522	434
778	1524	432
779	1525	430
780	1526	428
781	1527	425
782	1529	423
783	1530	421
784	1531	419
785	1532	417
786	1533	415
787	1536	413
788	1537	411
789	1539	409
790	1540	406
791	1541	404
792	1542	402
793	1543	400
794	1544	398
795	1546	396
796	1547	394
797	1548	392
798	1551	390
799	1552	388
800	1553	386
801	1555	383
802	1556	381
803	1557	379
804	1558	377
805	1559	375
806	1561	373
807	1562	371
808	1563	369
809	1566	367
810	1567	365
811	1569	363
812	1570	361
813	1572	359
814	1573	357
815	1575	355
816	1576	353
817	1578	351
818	1581	349
819	1582	347
820	1584	345
821	1585	343
822	1587	341
823	1589	339
824	1590	337
825	1592	335
826	1594	333
827	1596	331
828	1597	329
829	1598	327
830	1599	325
831	1601	323
832	1602	321
833	1603	319
834	1604	317
835	1605	314
836	1606	312
837	1608	310
838	1610	308
839	1611	306
840	1612	304
841	1613	302
842	1614	300
843	1616	298
844	1617	296
845	1618	294
846	1619	292
847	1620	290
848	1623	288
849	1624	286
850	1625	284
851	1627	282
852	1628	280
853	1629	278
854	1630	276
855	1631	274
856	1633	272
857	1634	270
858	1635	268
859	1636	266
860	1639	264
861	1640	262
862	1641	260
863	1642	258
864	1644	256
865	1645	254
866	1646	252
867	1648	250
868	1649	248
869	1650	246
870	1651	244
871	1654	242
872	1655	240
873	1656	238
874	1657	236
875	1659	234
876	1660	232
877	1661	230
878	1663	228
879	1664	226
880	1665	224
881	1667	223
882	1669	221
883	1670	219
884	1671	217
885	1673	215
886	1674	213
887	1675	211
888	1676	209
889	1677	207
890	1679	205
891	1680	203
892	1682	201
893	1683	199
894	1685	197
895	1686	195
896	1687	193
897	1688	191
898	1689	189
899	1691	187
900	1692	185
901	1693	183
902	1694	182
903	1695	180
904	1699	178
905	1701	176
906	1702	174
907	1703	172
908	1704	170
909	1705	168
910	1706	166
911	1708	164
912	1709	162
913	1710	160
914	1712	159
915	1714	157
916	1715	155
917	1716	153
918	1718	151
919	1719	149
920	1720	147
921	1721	145
922	1722	143
923	1723	141
924	1725	139
925	1726	137
926	1728	136
927	1729	134
928	1730	132
929	1731	130
930	1733	128
931	1734	126
932	1735	124
933	1736	122
934	1737	120
935	1738	118
936	1740	117
937	1742	115
938	1744	113
939	1745	111
940	1746	109
941	1747	107
942	1749	105
943	1750	103
944	1751	101
945	1752	100
946	1753	98
947	1756	96
948	1758	94
949	1759	92
950	1760	90
951	1761	88
952	1762	86
953	1763	85
954	1765	83
955	1766	81
956	1767	79
957	1768	77
958	1769	75
959	1771	73
960	1773	71
961	1774	70
962	1775	68
963	1776	66
964	1777	64
965	1778	62
966	1780	60
967	1781	58
968	1782	57
969	1783	55
970	1785	53
971	1787	51
972	1788	49
973	1791	47
974	1792	45
975	1793	44
976	1794	42
977	1795	40
978	1797	38
979	1798	36
980	1800	34
981	1801	33
982	1802	31
983	1804	29
984	1805	27
985	1806	25
986	1807	23
987	1808	21
988	1810	20
989	1811	18
990	1812	16
991	1813	14
992	1815	12
993	1817	10
994	1818	9
995	1819	7
996	1821	5
997	1822	3
998	1823	1
999	1824	0
